City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,grand gaube,-20.01,57.66,75.99,75,31,5.01,MU,1605198016
349,richards bay,-28.78,32.04,67.87,70,1,7.72,ZA,1605198016
350,margate,51.38,1.39,52.0,69,9,1.99,GB,1605198017
351,soyo,-6.13,12.37,80.6,88,75,9.17,AO,1605198017
352,havre-saint-pierre,50.23,-63.6,44.6,52,20,9.17,CA,1605198017
353,lorengau,-2.02,147.27,82.31,71,43,5.7,PG,1605198017
354,opuwo,-18.06,13.84,83.05,34,96,11.01,NA,1605198017
355,jaru,-10.44,-62.47,87.66,56,99,3.94,BR,1605198017
356,ballina,-28.87,153.57,69.8,77,60,12.75,AU,1605198018
357,vila velha,-20.33,-40.29,86.0,58,20,13.87,BR,1605197797
358,egvekinot,66.32,-179.17,19.51,94,100,18.57,RU,1605198018
359,karratha,-20.74,116.85,75.45,58,2,14.88,AU,1605198018
360,qunduz,36.73,68.86,52.39,79,100,10.16,AF,1605198018
361,panama city,8.99,-79.52,86.0,83,40,3.36,PA,1605198019
362,victor harbor,-35.57,138.62,55.0,75,33,11.86,AU,1605198019
363,novopokrovka,49.84,36.55,32.0,80,0,2.24,UA,1605198019
364,sao filipe,14.9,-24.5,82.56,60,0,4.41,CV,1605198019
365,hami,42.8,93.45,37.29,71,72,0.98,CN,1605198019
366,ada,43.42,-116.13,28.99,68,1,13.87,US,1605198019
367,yeppoon,-23.13,150.73,64.4,77,78,7.11,AU,1605198020
368,taltal,-25.4,-70.48,65.43,58,23,6.51,CL,1605198020
369,tobermory,45.25,-81.67,44.6,70,0,8.05,CA,1605197864
370,clyde river,70.47,-68.59,-4.0,64,40,23.04,CA,1605198021
371,primorsk,46.73,36.34,40.84,74,8,10.8,UA,1605198021
372,mizdah,31.45,12.98,65.23,53,97,9.42,LY,1605198021
373,tessalit,20.2,1.01,85.73,13,0,5.82,ML,1605198021
374,san carlos de bariloche,-41.15,-71.31,60.8,38,40,19.46,AR,1605198021
375,komsomolskiy,40.43,71.72,46.4,87,90,4.7,UZ,1605198022
376,sinjar,36.32,41.88,65.34,37,31,3.74,IQ,1605198022
377,hasaki,35.73,140.83,48.2,81,40,8.05,JP,1605198022
378,san andres,12.58,-81.7,86.0,74,75,3.36,CO,1605197850
379,mount gambier,-37.83,140.77,53.6,93,75,8.05,AU,1605197854
380,florianopolis,-27.61,-48.5,80.01,83,40,11.41,BR,1605197777
